neighborhood,year,acres,mean_coverage,median_coverage,std_coverage,percent_area_with_trees,area_high_canopy,estimated_trees,trees_per_acre,change_from_previous,change_from_2011
Kenfield,2015,449.51,7.68,10.0,7.74,53.6,0.0,151.29,0.34,0.02,0.02
Kenfield,2016,449.51,7.53,10.0,7.76,52.68,0.0,148.68,0.33,-0.15,-0.13
Kenfield,2017,449.51,6.57,0.0,7.82,45.41,0.0,128.16,0.29,-0.96,-1.09
Kenfield,2018,449.51,6.46,0.0,7.83,44.58,0.03,125.82,0.28,-0.11,-1.2
Kenfield,2019,449.51,6.51,0.0,7.89,44.87,0.03,126.63,0.28,0.05,-1.15
Kenfield,2020,449.51,6.44,0.0,7.98,44.16,0.03,124.65,0.28,-0.07,-1.22
Kenfield,2021,449.51,6.39,0.0,8.27,43.14,0.19,121.77,0.27,-0.05,-1.27
Kensington-Bailey,2011,751.43,6.67,0.0,8.02,44.3,0.02,258.12,0.34,,0.0
Kensington-Bailey,2012,751.43,6.67,0.0,8.04,44.25,0.02,257.85,0.34,-0.0,-0.0
Kensington-Bailey,2013,751.43,6.67,0.0,8.05,44.28,0.02,258.03,0.34,0.01,0.0
Kensington-Bailey,2014,751.43,6.65,0.0,8.05,44.1,0.02,256.95,0.34,-0.02,-0.02
Kensington-Bailey,2015,751.43,6.66,0.0,8.07,44.15,0.02,257.22,0.34,0.01,-0.01
Kensington-Bailey,2016,751.43,6.52,0.0,7.91,43.84,0.02,255.42,0.34,-0.15,-0.15
Kensington-Bailey,2017,751.43,5.83,0.0,7.82,38.79,0.02,225.99,0.3,-0.69,-0.84
Kensington-Bailey,2018,751.43,5.74,0.0,7.79,38.23,0.02,222.75,0.3,-0.09,-0.92
Kensington-Bailey,2019,751.43,5.64,0.0,7.8,37.47,0.03,218.34,0.29,-0.1,-1.03
Kensington-Bailey,2020,751.43,5.5,0.0,7.78,36.45,0.03,212.4,0.28,-0.14,-1.16
Kensington-Bailey,2021,751.43,5.33,0.0,7.8,35.19,0.03,205.02,0.27,-0.17,-1.34
Lovejoy,2011,1156.21,6.54,0.0,10.13,38.01,0.66,269.28,0.23,,0.0
Lovejoy,2012,1156.21,6.58,0.0,10.22,38.08,0.72,269.82,0.23,0.04,0.04
Lovejoy,2013,1156.21,6.53,0.0,10.25,37.86,0.76,268.2,0.23,-0.05,-0.0
Lovejoy,2014,1156.21,6.52,0.0,10.31,37.63,0.76,266.58,0.23,-0.01,-0.02
Lovejoy,2015,1156.21,6.56,0.0,10.33,37.93,0.8,268.74,0.23,0.04,0.02
Lovejoy,2016,1156.21,6.26,0.0,10.33,36.38,0.85,257.76,0.22,-0.3,-0.28
Lovejoy,2017,1156.21,5.74,0.0,10.41,32.52,0.88,230.4,0.2,-0.52,-0.79
Lovejoy,2018,1156.21,5.75,0.0,10.59,32.34,0.98,229.14,0.2,0.01,-0.78
Lovejoy,2019,1156.21,5.8,0.0,10.85,32.09,1.07,227.34,0.2,0.05,-0.74
Lovejoy,2020,1156.21,5.91,0.0,11.22,32.02,1.21,226.89,0.2,0.12,-0.62
Lovejoy,2021,1156.21,5.9,0.0,11.42,31.54,1.3,223.47,0.19,-0.01,-0.64
Lower West Side,2011,359.94,4.04,0.0,6.95,28.02,0.0,81.54,0.23,,0.0
Lower West Side,2012,359.94,4.02,0.0,6.94,27.81,0.0,80.91,0.22,-0.03,-0.03
Lower West Side,2013,359.94,4.01,0.0,6.94,27.81,0.0,80.91,0.22,-0.0,-0.03
Lower West Side,2014,359.94,3.96,0.0,6.92,27.4,0.0,79.74,0.22,-0.05,-0.08
Lower West Side,2015,359.94,3.95,0.0,6.9,27.34,0.0,79.56,0.22,-0.02,-0.1
Lower West Side,2016,359.94,3.7,0.0,6.73,25.89,0.0,75.33,0.21,-0.24,-0.34
Lower West Side,2017,359.94,3.29,0.0,6.49,22.95,0.0,66.78,0.19,-0.41,-0.75
Lower West Side,2018,359.94,3.16,0.0,6.37,22.08,0.0,64.26,0.18,-0.13,-0.88
Lower West Side,2019,359.94,3.02,0.0,6.26,21.19,0.0,61.65,0.17,-0.14,-1.02
Lower West Side,2020,359.94,2.86,0.0,6.13,20.2,0.0,58.77,0.16,-0.16,-1.18
Lower West Side,2021,359.94,2.72,0.0,6.03,19.21,0.0,55.89,0.16,-0.14,-1.32
MLK Park,2011,439.6,8.62,7.5,9.69,50.35,0.0,129.42,0.29,,0.0
MLK Park,2012,439.6,8.6,7.0,9.7,50.21,0.0,129.06,0.29,-0.02,-0.02
MLK Park,2013,439.6,8.57,0.0,9.72,49.96,0.0,128.43,0.29,-0.03,-0.05
MLK Park,2014,439.6,8.48,0.0,9.71,49.47,0.0,127.17,0.29,-0.09,-0.14
MLK Park,2015,439.6,8.38,0.0,9.74,48.74,0.0,125.28,0.28,-0.1,-0.24
MLK Park,2016,439.6,7.6,0.0,9.15,46.46,0.0,119.43,0.27,-0.78,-1.02
MLK Park,2017,439.6,6.62,0.0,9.07,39.92,0.0,102.6,0.23,-0.98,-2.0
MLK Park,2018,439.6,6.49,0.0,9.04,39.11,0.0,100.53,0.23,-0.13,-2.13
MLK Park,2019,439.6,6.4,0.0,9.06,38.45,0.04,98.82,0.22,-0.09,-2.22
MLK Park,2020,439.6,6.36,0.0,9.12,37.92,0.04,97.47,0.22,-0.04,-2.26
MLK Park,2021,439.6,6.35,0.0,9.27,37.29,0.07,95.85,0.22,-0.01,-2.27
Masten Park,2011,683.9,7.1,0.0,9.57,40.59,0.0,204.21,0.3,,0.0
Masten Park,2012,683.9,7.07,0.0,9.56,40.39,0.0,203.22,0.3,-0.03,-0.03
Masten Park,2013,683.9,7.06,0.0,9.56,40.32,0.0,202.86,0.3,-0.01,-0.04
Masten Park,2014,683.9,7.01,0.0,9.52,40.13,0.0,201.87,0.3,-0.05,-0.09
Masten Park,2015,683.9,6.94,0.0,9.51,39.66,0.0,199.53,0.29,-0.07,-0.16
Masten Park,2016,683.9,6.39,0.0,9.06,38.07,0.0,191.52,0.28,-0.54,-0.7
Masten Park,2017,683.9,5.56,0.0,8.87,32.58,0.0,163.89,0.24,-0.83,-1.53
Masten Park,2018,683.9,5.4,0.0,8.75,31.75,0.0,159.75,0.23,-0.17,-1.7
Masten Park,2019,683.9,5.26,0.0,8.7,30.93,0.0,155.61,0.23,-0.14,-1.84
Masten Park,2020,683.9,5.2,0.0,8.71,30.45,0.0,153.18,0.22,-0.07,-1.9
Masten Park,2021,683.9,5.05,0.0,8.7,29.5,0.02,148.41,0.22,-0.15,-2.05
North Park,2011,1156.81,7.37,5.0,8.56,50.02,0.21,335.61,0.29,,0.0
North Park,2012,1156.81,7.37,6.0,8.58,50.03,0.23,335.7,0.29,0.0,0.0
North Park,2013,1156.81,7.38,0.0,8.62,49.98,0.25,335.34,0.29,0.0,0.0
North Park,2014,1156.81,7.36,0.0,8.67,49.78,0.27,333.99,0.29,-0.01,-0.01
North Park,2015,1156.81,7.37,0.0,8.73,49.82,0.31,334.26,0.29,0.01,-0.0
North Park,2016,1156.81,7.13,0.0,8.65,48.67,0.31,326.52,0.28,-0.25,-0.25
North Park,2017,1156.81,6.47,0.0,8.58,43.76,0.27,293.58,0.25,-0.66,-0.91
North Park,2018,1156.81,6.26,0.0,8.3,42.79,0.25,287.1,0.25,-0.21,-1.12
North Park,2019,1156.81,5.89,0.0,7.75,41.27,0.07,276.93,0.24,-0.36,-1.48
North Park,2020,1156.81,5.63,0.0,7.67,39.52,0.05,265.14,0.23,-0.27,-1.75
North Park,2021,1156.81,5.39,0.0,7.69,37.79,0.11,253.53,0.22,-0.23,-1.98
Parkside,2011,1079.85,9.46,0.0,12.28,45.54,0.76,313.92,0.29,,0.0
Parkside,2012,1079.85,9.38,0.0,12.24,45.19,0.74,311.49,0.29,-0.08,-0.08
Parkside,2013,1079.85,9.31,0.0,12.27,44.81,0.8,308.88,0.29,-0.06,-0.14
Parkside,2014,1079.85,9.27,0.0,12.3,44.52,0.81,306.9,0.28,-0.05,-0.19
Parkside,2015,1079.85,9.24,0.0,12.3,44.37,0.78,305.82,0.28,-0.03,-0.22
Parkside,2016,1079.85,8.41,0.0,11.53,42.56,0.57,293.4,0.27,-0.83,-1.05
Parkside,2017,1079.85,7.69,0.0,11.46,38.19,0.54,263.25,0.24,-0.72,-1.77
Parkside,2018,1079.85,7.59,0.0,11.41,37.93,0.56,261.45,0.24,-0.1,-1.87
Parkside,2019,1079.85,7.52,0.0,11.41,37.56,0.63,258.93,0.24,-0.07,-1.94
Parkside,2020,1079.85,7.5,0.0,11.5,37.32,0.72,257.22,0.24,-0.01,-1.95
Parkside,2021,1079.85,7.45,0.0,11.67,36.7,0.85,252.99,0.23,-0.05,-2.0
Pratt-Willert,2011,428.5,5.03,0.0,7.13,36.62,0.0,94.95,0.22,,0.0
Pratt-Willert,2012,428.5,5.01,0.0,7.13,36.48,0.0,94.59,0.22,-0.01,-0.01
Pratt-Willert,2013,428.5,5.0,0.0,7.13,36.45,0.0,94.5,0.22,-0.01,-0.03
Pratt-Willert,2014,428.5,4.93,0.0,7.12,35.96,0.0,93.24,0.22,-0.07,-0.09
Pratt-Willert,2015,428.5,4.87,0.0,7.1,35.54,0.0,92.16,0.22,-0.06,-0.15
Pratt-Willert,2016,428.5,4.45,0.0,6.77,33.29,0.0,86.31,0.2,-0.42,-0.58
Pratt-Willert,2017,428.5,3.54,0.0,6.27,27.04,0.0,70.11,0.16,-0.91,-1.49
Pratt-Willert,2018,428.5,3.38,0.0,6.14,26.03,0.0,67.5,0.16,-0.16,-1.65
Pratt-Willert,2019,428.5,3.27,0.0,6.07,25.2,0.0,65.34,0.15,-0.11,-1.76
Pratt-Willert,2020,428.5,3.08,0.0,5.95,23.88,0.0,61.92,0.14,-0.19,-1.95
Pratt-Willert,2021,428.5,3.0,0.0,5.87,23.39,0.0,60.66,0.14,-0.08,-2.03
Riverside,2011,610.65,6.1,0.0,8.27,42.42,0.28,176.67,0.29,,0.0
Riverside,2012,610.65,6.1,0.0,8.3,42.39,0.3,176.58,0.29,0.0,0.0
Riverside,2013,610.65,6.04,0.0,8.27,41.98,0.3,174.87,0.29,-0.06,-0.06
Riverside,2014,610.65,6.04,0.0,8.31,41.94,0.3,174.69,0.29,0.0,-0.05
Riverside,2015,610.65,6.01,0.0,8.28,41.75,0.26,173.88,0.28,-0.03,-0.08
Riverside,2016,610.65,5.76,0.0,8.1,40.3,0.22,167.85,0.27,-0.25,-0.34
Riverside,2017,610.65,5.19,0.0,7.96,36.24,0.19,150.93,0.25,-0.56,-0.9
Riverside,2018,610.65,5.09,0.0,7.97,35.46,0.22,147.69,0.24,-0.1,-1.01
Riverside,2019,610.65,4.92,0.0,7.97,34.01,0.22,141.66,0.23,-0.17,-1.18
Riverside,2020,610.65,4.72,0.0,8.03,32.28,0.28,134.46,0.22,-0.2,-1.38
Riverside,2021,610.65,4.51,0.0,8.17,30.45,0.37,126.81,0.21,-0.21,-1.58
Schiller Park,2011,606.04,5.21,0.0,7.94,34.82,0.09,182.52,0.3,,0.0
Schiller Park,2012,606.04,5.22,0.0,7.99,34.8,0.12,182.43,0.3,0.01,0.01
Schiller Park,2013,606.04,5.23,0.0,8.04,34.8,0.15,182.43,0.3,0.01,0.02
Schiller Park,2014,606.04,5.22,0.0,8.09,34.6,0.22,181.35,0.3,-0.02,0.0
Schiller Park,2015,606.04,5.2,0.0,8.07,34.46,0.21,180.63,0.3,-0.02,-0.01
Schiller Park,2016,606.04,4.98,0.0,7.79,33.64,0.15,176.31,0.29,-0.22,-0.23
Schiller Park,2017,606.04,4.46,0.0,7.65,29.79,0.17,156.15,0.26,-0.52,-0.75
Schiller Park,2018,606.04,4.44,0.0,7.73,29.4,0.19,154.08,0.25,-0.03,-0.77
Schiller Park,2019,606.04,4.38,0.0,7.73,28.9,0.19,151.47,0.25,-0.05,-0.83
Schiller Park,2020,606.04,4.34,0.0,7.83,28.42,0.22,148.95,0.25,-0.04,-0.87
Schiller Park,2021,606.04,4.28,0.0,7.94,27.68,0.26,145.08,0.24,-0.06,-0.93
Seneca Babcock,2011,889.06,3.73,0.0,8.01,23.33,0.35,145.53,0.16,,0.0
Seneca Babcock,2012,889.06,3.72,0.0,7.96,23.36,0.32,145.71,0.16,-0.01,-0.01
Seneca Babcock,2013,889.06,3.68,0.0,7.94,23.2,0.33,144.72,0.16,-0.04,-0.04
Seneca Babcock,2014,889.06,3.65,0.0,7.96,22.91,0.35,142.92,0.16,-0.03,-0.07
Seneca Babcock,2015,889.06,3.67,0.0,8.0,22.94,0.35,143.1,0.16,0.02,-0.06
Seneca Babcock,2016,889.06,3.35,0.0,7.57,21.52,0.29,134.19,0.15,-0.31,-0.37
Seneca Babcock,2017,889.06,2.83,0.0,7.3,17.69,0.29,110.34,0.12,-0.53,-0.9
Seneca Babcock,2018,889.06,2.8,0.0,7.32,17.43,0.3,108.72,0.12,-0.03,-0.93
Seneca Babcock,2019,889.06,2.72,0.0,7.23,17.16,0.32,107.01,0.12,-0.07,-1.0
Seneca Babcock,2020,889.06,2.7,0.0,7.3,16.91,0.33,105.48,0.12,-0.02,-1.02
Seneca Babcock,2021,889.06,2.73,0.0,7.54,16.68,0.42,104.04,0.12,0.03,-0.99
Seneca-Cazenovia,2011,718.59,8.3,0.0,17.29,31.45,4.4,218.16,0.3,,0.0
Seneca-Cazenovia,2012,718.59,7.81,0.0,16.05,31.29,3.62,217.08,0.3,-0.49,-0.49
Seneca-Cazenovia,2013,718.59,7.55,0.0,15.74,30.75,3.48,213.3,0.3,-0.26,-0.75
Seneca-Cazenovia,2014,718.59,7.35,0.0,15.41,30.31,3.27,210.24,0.29,-0.2,-0.95
Seneca-Cazenovia,2015,718.59,7.31,0.0,15.31,30.33,3.23,210.42,0.29,-0.04,-0.99
Seneca-Cazenovia,2016,718.59,6.92,0.0,14.65,29.7,2.84,206.01,0.29,-0.39,-1.37
Seneca-Cazenovia,2017,718.59,6.49,0.0,14.5,26.88,2.79,186.48,0.26,-0.43,-1.8
Seneca-Cazenovia,2018,718.59,6.42,0.0,14.41,26.56,2.7,184.23,0.26,-0.07,-1.88
Seneca-Cazenovia,2019,718.59,6.49,0.0,14.59,26.52,2.84,183.96,0.26,0.07,-1.81
Seneca-Cazenovia,2020,718.59,6.5,0.0,14.69,26.32,2.94,182.61,0.25,0.01,-1.8
Seneca-Cazenovia,2021,718.59,6.55,0.0,14.97,25.86,3.17,179.37,0.25,0.05,-1.74
South Park,2011,1065.68,7.89,0.0,10.58,46.35,0.94,370.17,0.35,,0.0
South Park,2012,1065.68,7.9,0.0,10.58,46.42,0.96,370.71,0.35,0.01,0.01
South Park,2013,1065.68,7.92,0.0,10.65,46.43,1.0,370.8,0.35,0.02,0.03
South Park,2014,1065.68,7.91,0.0,10.69,46.19,1.03,368.91,0.35,-0.02,0.02
South Park,2015,1065.68,7.93,0.0,10.73,46.33,1.06,369.99,0.35,0.03,0.04
South Park,2016,1065.68,7.69,0.0,10.37,45.74,0.95,365.31,0.34,-0.24,-0.2
South Park,2017,1065.68,7.2,0.0,10.42,42.18,0.98,336.87,0.32,-0.49,-0.69
South Park,2018,1065.68,7.12,0.0,10.45,41.64,0.99,332.55,0.31,-0.08,-0.77
South Park,2019,1065.68,7.06,0.0,10.53,41.05,1.0,327.87,0.31,-0.06,-0.83
South Park,2020,1065.68,7.0,0.0,10.62,40.48,1.06,323.28,0.3,-0.06,-0.89
South Park,2021,1065.68,6.85,0.0,10.67,39.36,1.13,314.37,0.29,-0.15,-1.04
University Heights,2011,854.83,5.07,0.0,8.76,30.58,0.27,220.41,0.26,,0.0
University Heights,2012,854.83,5.05,0.0,8.79,30.39,0.3,219.06,0.26,-0.02,-0.02
University Heights,2013,854.83,5.06,0.0,8.85,30.29,0.3,218.34,0.26,0.01,-0.01
University Heights,2014,854.83,5.02,0.0,8.83,30.02,0.3,216.36,0.25,-0.03,-0.04
University Heights,2015,854.83,4.85,0.0,8.37,29.72,0.15,214.2,0.25,-0.18,-0.22
University Heights,2016,854.83,4.72,0.0,8.35,29.0,0.14,208.98,0.24,-0.12,-0.34
University Heights,2017,854.83,4.4,0.0,8.26,26.65,0.14,192.06,0.22,-0.32,-0.67
University Heights,2018,854.83,4.39,0.0,8.31,26.42,0.16,190.44,0.22,-0.01,-0.68
University Heights,2019,854.83,4.35,0.0,8.37,26.05,0.21,187.74,0.22,-0.04,-0.72
University Heights,2020,854.83,4.28,0.0,8.4,25.46,0.22,183.51,0.21,-0.07,-0.78
University Heights,2021,854.83,4.18,0.0,8.5,24.45,0.26,176.22,0.21,-0.11,-0.89
Upper West Side,2011,541.22,5.99,0.0,8.11,39.53,0.0,131.13,0.24,,0.0
Upper West Side,2012,541.22,5.96,0.0,8.1,39.37,0.0,130.59,0.24,-0.03,-0.03
Upper West Side,2013,541.22,5.97,0.0,8.09,39.47,0.0,130.95,0.24,0.01,-0.02
Upper West Side,2014,541.22,5.95,0.0,8.1,39.26,0.0,130.23,0.24,-0.02,-0.04
Upper West Side,2015,541.22,5.94,0.0,8.1,39.2,0.0,130.05,0.24,-0.01,-0.05
Upper West Side,2016,541.22,5.63,0.0,7.93,37.68,0.0,125.01,0.23,-0.31,-0.36
Upper West Side,2017,541.22,4.95,0.0,7.8,32.58,0.0,108.09,0.2,-0.68,-1.04
Upper West Side,2018,541.22,4.84,0.0,7.75,31.85,0.0,105.66,0.2,-0.11,-1.15
Upper West Side,2019,541.22,4.74,0.0,7.76,31.06,0.0,103.05,0.19,-0.1,-1.25
Upper West Side,2020,541.22,4.7,0.0,7.83,30.58,0.03,101.43,0.19,-0.04,-1.29
Upper West Side,2021,541.22,4.59,0.0,7.93,29.35,0.05,97.38,0.18,-0.11,-1.4
West Hertel,2011,543.27,4.91,0.0,8.22,33.07,0.3,99.72,0.18,,0.0
West Hertel,2012,543.27,4.92,0.0,8.28,33.16,0.3,99.99,0.18,0.02,0.02
West Hertel,2013,543.27,4.94,0.0,8.32,33.16,0.3,99.99,0.18,0.02,0.03
West Hertel,2014,543.27,4.92,0.0,8.34,33.07,0.33,99.72,0.18,-0.02,0.02
West Hertel,2015,543.27,4.95,0.0,8.45,33.04,0.39,99.63,0.18,0.03,0.05
West Hertel,2016,543.27,4.82,0.0,8.47,32.0,0.39,96.48,0.18,-0.14,-0.09
West Hertel,2017,543.27,4.3,0.0,8.4,27.94,0.39,84.24,0.16,-0.51,-0.6
West Hertel,2018,543.27,4.2,0.0,8.43,27.01,0.39,81.45,0.15,-0.1,-0.7
West Hertel,2019,543.27,4.14,0.0,8.59,26.18,0.45,78.93,0.15,-0.06,-0.76
West Hertel,2020,543.27,4.13,0.0,8.77,25.67,0.54,77.4,0.14,-0.02,-0.78
West Hertel,2021,543.27,4.0,0.0,8.73,24.84,0.54,74.88,0.14,-0.13,-0.91
West Side,2011,568.55,6.46,0.0,8.5,41.22,0.05,161.01,0.28,,0.0
West Side,2012,568.55,6.47,0.0,8.5,41.34,0.05,161.46,0.28,0.01,0.01
West Side,2013,568.55,6.46,0.0,8.5,41.22,0.05,161.01,0.28,-0.02,-0.01
West Side,2014,568.55,6.41,0.0,8.48,40.97,0.05,160.02,0.28,-0.05,-0.05
West Side,2015,568.55,6.35,0.0,8.45,40.76,0.07,159.21,0.28,-0.05,-0.11
West Side,2016,568.55,5.79,0.0,7.98,38.46,0.0,150.21,0.26,-0.56,-0.67
West Side,2017,568.55,5.02,0.0,7.82,32.86,0.0,128.34,0.23,-0.77,-1.44
West Side,2018,568.55,4.82,0.0,7.77,31.43,0.0,122.76,0.22,-0.2,-1.64
West Side,2019,568.55,4.77,0.0,7.82,30.85,0.0,120.51,0.21,-0.06,-1.7
West Side,2020,568.55,4.78,0.0,7.94,30.67,0.0,119.79,0.21,0.01,-1.68
West Side,2021,568.55,4.69,0.0,8.02,29.82,0.07,116.46,0.2,-0.09,-1.77
